Lpep_dropoff_datetime,lpep_pickup_datetime,Tip_amount,Fare_amount,Passenger_count,Payment_type,Tolls_amount,Trip_distance,Dropoff_longitude,Dropoff_latitude
1.0,0.7791097470674855,-0.025657480321868743,-0.020287127317298426,0.04865485970487812,0.006323764483397409,-0.021200253969591847,-0.0477798970377643,0.004859389331241912,-0.06656820918263905
0.7791097470674856,0.9999999999999999,0.017796103704134956,-0.011662806002847585,0.04699993358931601,0.0051846143934336205,-0.039434570168578535,-0.04310847739412037,-0.017786032298647305,-0.07678376446696267
-0.025657480321868747,0.01779610370413496,1.0,0.5797097800017091,0.023520158497299624,-0.4842374796917424,0.2119515510969454,0.43881237449465993,-0.019625316956890376,-0.20974607248444613
-0.020287127317298426,-0.011662806002847585,0.5797097800017091,1.0,0.06374839936436975,-0.1903399938865495,0.34856591229483175,0.762722819576419,0.10386176964309778,-0.24892323869102556
0.04865485970487812,0.04699993358931601,0.02352015849729962,0.06374839936436974,0.9999999999999998,-0.010843948704351961,0.03939105324476405,0.055570064452561824,0.017731323805516182,-0.009998726231340339
0.006323764483397409,0.0051846143934336205,-0.48423747969174236,-0.1903399938865495,-0.010843948704351961,0.9999999999999998,-0.09201089284154597,-0.19569598838121113,0.16789612367405815,0.13086785755920036
-0.021200253969591847,-0.039434570168578535,0.2119515510969454,0.34856591229483175,0.03939105324476405,-0.09201089284154597,1.0,0.4421994998541658,-0.05910291817784198,-0.07986816871970955
-0.04777989703776431,-0.04310847739412037,0.4388123744946599,0.762722819576419,0.055570064452561824,-0.19569598838121113,0.44219949985416585,1.0,0.1958746498744441,-0.3048302437658342
0.004859389331241912,-0.017786032298647305,-0.019625316956890373,0.10386176964309778,0.017731323805516182,0.16789612367405815,-0.05910291817784198,0.1958746498744441,0.9999999999999998,-0.049120083032391286
-0.06656820918263905,-0.07678376446696267,-0.20974607248444613,-0.24892323869102556,-0.009998726231340339,0.13086785755920038,-0.07986816871970956,-0.3048302437658342,-0.049120083032391286,1.0
